artist,album,date,meta_score,user_score
Six Organs of Admittance,Burning the Threshold,"February 24, 2017",82,87
Jay Som,Everybody Works,"March 10, 2017",82,78
Eliza Carthy,Big Machine,"February 3, 2017",82,74
Allison Crutchfield,Tourist in This Town,"January 27, 2017",82,78
The Body,Ascending a Mountain of Heavy Light,"November 17, 2017",82,0
Jay-Z,4:44,"June 30, 2017",82,74
Jason Isbell and the 400 Unit,The Nashville Sound,"June 16, 2017",82,77
Joan Shelley,Joan Shelley,"May 5, 2017",82,73
Paramore,After Laughter,"May 12, 2017",82,84
Lawrence English,Cruel Optimism,"February 17, 2017",82,0
Slowdive,Slowdive,"May 5, 2017",82,82
Pallbearer,Heartless,"March 24, 2017",82,80
Julie Byrne,Not Even Happiness,"January 27, 2017",82,80
(Sandy) Alex G,Rocket,"May 19, 2017",82,82
Mount Kimbie,Love What Survives,"September 8, 2017",82,79
Grizzly Bear,Painted Ruins,"August 18, 2017",82,84
Kaitlyn Aurelia Smith,The Kid,"October 6, 2017",82,77
Hauschka,What If,"March 31, 2017",82,76
Spoon,Hot Thoughts,"March 17, 2017",82,80
Michael Chapman,50,"January 20, 2017",82,0
Tara Jane O'Neil,Tara Jane O'Neil,"April 21, 2017",82,80
BROCKHAMPTON,Saturation III,"December 15, 2017",82,86
Wolf Parade,Cry Cry Cry,"October 6, 2017",82,81
Spectres,Condition,"March 10, 2017",81,0
Chelsea Wolfe,Hiss Spun,"September 22, 2017",81,77
Laetitia Sadier Source Ensemble,Find Me Finding You,"March 24, 2017",81,0
Lost Horizons,Ojalá,"November 3, 2017",81,74
Wolf Alice,Visions of a Life,"September 29, 2017",81,84
Nick Hakim,Green Twins,"May 19, 2017",81,81
Man Forever,Play What They Want,"May 19, 2017",81,0
Part Chimp,IV,"April 14, 2017",81,0
Piano Magic,Closure,"January 27, 2017",81,78
Gabriel Garzón-Montano,Jardín,"January 27, 2017",81,78
Big Thief,Capacity,"June 9, 2017",81,80
Chris Stapleton,"From a Room, Vol. 1","May 5, 2017",81,72
Actress,AZD,"April 14, 2017",81,69
Everything Everything,A Fever Dream,"August 18, 2017",81,82
Nadine Shah,Holiday Destination,"August 25, 2017",81,82
The Sadies,Northern Passages,"February 10, 2017",81,0
Offa Rex,The Queen of Hearts,"July 14, 2017",81,0
Conor Oberst,Salutations,"March 17, 2017",81,79
Buffy Sainte-Marie,Medicine Songs,"November 10, 2017",81,0
Sorority Noise,You're Not As _____ As You Think,"March 17, 2017",81,78
Peter Perrett,How the West Was Won,"June 30, 2017",81,0
Sacred Paws,Strike a Match,"January 27, 2017",81,78
Blanck Mass,World Eater,"March 3, 2017",81,80
The Pollyseeds,"The Sounds of Crenshaw, Vol. 1","July 14, 2017",81,0
Sparks,Hippopotamus,"September 8, 2017",81,74
Cairo Gang,Untouchable,"March 24, 2017",81,0
Max Richter,Max Richter: Three Worlds – Music from Woolf Works,"January 27, 2017",81,76
James Holden & the Animal Spirits,The Animal Spirits,"November 3, 2017",81,80
Gun Outfit,Out of Range,"November 10, 2017",81,0
Syd,Fin,"February 3, 2017",81,82
Linda Perhacs,I'm a Harmony,"September 22, 2017",81,0
Tall Ships,Impressions,"February 10, 2017",81,83
Emptyset,Borders,"January 27, 2017",81,78
Bing & Ruth,No Home of the Mind,"February 17, 2017",81,0
Miguel,War & Leisure,"December 1, 2017",81,77
Beach Fossils,Somersault,"June 2, 2017",81,80
The Unthanks,Diversions Vol. 4: The Songs and Poems of Molly Drake,"May 26, 2017",81,0
All Them Witches,Sleeping Through the War,"February 24, 2017",81,85
Sleaford Mods,English Tapas,"March 3, 2017",81,77
Fleet Foxes,Crack-Up,"June 16, 2017",81,83
Robert Finley,Goin' Platinum!,"December 8, 2017",81,0
Melanie De Biasio,Lilies,"October 6, 2017",81,0
The War on Drugs,A Deeper Understanding,"August 25, 2017",81,84
Kesha,Rainbow,"August 11, 2017",81,86
Queens of the Stone Age,Villains,"August 25, 2017",81,76
Pond,The Weather,"May 5, 2017",80,80
Mavis Staples,If All I Was Was Black,"November 17, 2017",80,68
Tei Shi,Crawl Space,"March 31, 2017",80,80
Anohni,Paradise [EP],"March 17, 2017",80,68
