artist,album,date,week_num,meta_score,user_score
D'Angelo,Black Messiah,"December 15, 2014",51,81,0
Behemoth,The Satanist,"February 4, 2014",6,81,0
The Hotelier,"Home, Like Noplace Is There","February 25, 2014",9,81,0
St. Vincent,St. Vincent,"February 25, 2014",9,81,0
Run the Jewels,RTJ2,"October 27, 2014",44,81,0
Swans,To Be Kind,"May 13, 2014",20,81,0
Pallbearer,Foundations of Burden,"August 19, 2014",34,81,0
La Dispute,Rooms of the House,"March 18, 2014",12,81,0
Big K.R.I.T.,Cadillactica,"November 10, 2014",46,81,0
Flying Lotus,You're Dead!,"October 7, 2014",41,81,0
Rosanne Cash,The River & the Thread,"January 14, 2014",3,81,0
Perfume Genius,Too Bright,"September 23, 2014",39,81,0
The Delines,Colfax,"June 17, 2014",25,81,0
Fennesz,Bécs,"April 29, 2014",18,81,0
Sharon Van Etten,Are We There,"May 27, 2014",22,81,0
Aphex Twin,Syro,"September 23, 2014",39,81,0
Miranda Lambert,Platinum,"June 3, 2014",23,81,0
FKA twigs,LP1,"August 12, 2014",33,81,0
Indian,From All Purity,"January 21, 2014",4,81,0
Wild Beasts,Present Tense,"February 25, 2014",9,81,0
Leonard Cohen,Popular Problems,"September 23, 2014",39,81,0
The War on Drugs,Lost In the Dream,"March 18, 2014",12,81,0
Steve Gunn,Way Out Weather,"October 7, 2014",41,81,0
The Marmozets,The  Weird and Wonderful,"September 29, 2014",40,81,0
Sun Kil Moon,Benji,"February 11, 2014",7,81,0
Jennifer Castle,Pink City,"September 2, 2014",36,81,0
YOB,Clearing the Path to Ascend,"September 2, 2014",36,81,0
Jenny Hval & Susanna,Meshes of Voice,"August 19, 2014",34,81,0
Godflesh,A World Lit Only by Fire,"October 7, 2014",41,81,0
Lee Ann Womack,The Way I'm Livin',"September 23, 2014",39,81,0
Agalloch,The Serpent & the Sphere,"May 13, 2014",20,81,0
Angel Olsen,Burn Your Fire for No Witness,"February 18, 2014",8,81,0
Ex Hex,Rips,"October 7, 2014",41,81,0
Caribou,Our Love,"October 7, 2014",41,81,0
Ben Frost,A U R O R A,"May 27, 2014",22,81,0
Shellac,Dude Incredible,"September 16, 2014",38,81,0
Ought,More Than Any Other Day,"April 29, 2014",18,81,0
Lee Fields,Emma Jean,"June 3, 2014",23,81,0
Angaleena Presley,American Middle Class,"October 14, 2014",42,81,0
Strand of Oaks,Heal,"June 24, 2014",26,81,0
Electric Wizard,Time to Die,"September 30, 2014",40,81,0
The Bug,Angels & Devils,"August 26, 2014",35,81,0
Marissa Nadler,July,"February 4, 2014",6,81,0
Clark,Clark,"November 4, 2014",45,81,0
Andy Stott,Faith in Strangers,"November 18, 2014",47,81,0
Gazelle Twin,Unflesh,"September 23, 2014",39,81,0
Jolie Holland,Wine Dark Sea,"May 20, 2014",21,81,0
Young Fathers,Dead,"February 4, 2014",6,81,0
Douglas Dare,Whelm,"May 13, 2014",20,81,0
Moodymann,Moodymann,"January 27, 2014",5,81,0
Total Control,Typical System,"June 24, 2014",26,81,0
Lucinda Williams,Down Where the Spirit Meets the Bone,"September 30, 2014",40,81,0
Protomartyr,Under Color of Official Right,"April 8, 2014",15,81,0
tUnE-yArDs,Nikki Nack,"May 6, 2014",19,81,0
Sunn O))),Soused,"October 21, 2014",43,81,0
PUP,PUP,"April 8, 2014",15,81,0
Fear of Men,Loom,"April 22, 2014",17,81,0
Manic Street Preachers,Futurology,"July 7, 2014",28,81,0
Mr Twin Sister,Mr Twin Sister,"September 23, 2014",39,81,0
Sidiki Diabate,Toumani & Sidiki,"May 19, 2014",21,81,0
Carla Bozulich,Boy,"March 4, 2014",10,81,0
Against Me!,Transgender Dysphoria Blues,"January 21, 2014",4,81,0
The Soft Pink Truth,Why Do the Heathen Rage?,"June 17, 2014",25,81,0
Reigning Sound,Shattered,"July 15, 2014",29,81,0
Joyce Manor,Never Hungover Again,"July 22, 2014",30,81,0
Happyness,Weird Little Birthday,"June 16, 2014",25,81,0
Owen Pallett,In Conflict,"May 27, 2014",22,81,0
Future Islands,Singles,"March 25, 2014",13,81,0
Weyes Blood,The Innocents,"October 21, 2014",43,81,0
Eric Church,The Outsiders,"February 11, 2014",7,81,0
Mac DeMarco,Salad Days,"April 1, 2014",14,81,0
Bing & Ruth,Tomorrow Was the Golden Age,"October 14, 2014",42,81,0
These New Puritans,Field of Reeds,"March 4, 2014",10,81,0
Vashti Bunyan,Heartleap,"October 7, 2014",41,81,0
Freddie Gibbs,Piñata,"March 18, 2014",12,81,0
The Antlers,Familiars,"June 17, 2014",25,81,0
Young Widows,Easy Pain,"May 13, 2014",20,81,0
Blank Realm,Grassed Inn,"January 14, 2014",3,81,0
Tony Allen,Film of Life,"October 14, 2014",42,81,0
A Sunny Day in Glasgow,Sea When Absent,"June 24, 2014",26,81,0
The Ghost of a Saber Tooth Tiger,Midnight Sun,"April 29, 2014",18,81,0
Neneh Cherry,Blank Project,"February 25, 2014",9,81,0
Laura Cantrell,No Way There from Here,"January 28, 2014",5,81,0
Phil Alvin,Common Ground: Dave & Phil Alvin Play and Sing the Songs of Big Bill Broonzy,"June 3, 2014",23,81,0
Rodney Crowell,Tarpaper Sky,"April 15, 2014",16,81,0
East India Youth,Total Strife Forever,"January 13, 2014",3,81,0
Lydia Loveless,Somewhere Else,"February 18, 2014",8,81,0
Keith Jarrett,Last Dance,"June 17, 2014",25,81,0
Beck,Morning Phase,"February 25, 2014",9,81,0
Benjamin Booker,Benjamin Booker,"August 19, 2014",34,81,0
Spoon,They Want My Soul,"August 5, 2014",32,81,0
Dolly Parton,Blue Smoke,"May 13, 2014",20,81,0
Vessel,"Punish, Honey","September 16, 2014",38,81,0
Loscil,Sea Island,"November 18, 2014",47,81,0
Oren Ambarchi,Quixotism,"October 28, 2014",44,81,0
Shabazz Palaces,Lese Majesty,"July 29, 2014",31,78,0
Hiss Golden Messenger,Lateness of Dancers,"September 9, 2014",37,78,0
Frazey Ford,Indian Ocean,"October 14, 2014",42,78,0
A Winged Victory for the Sullen,Atomos,"October 7, 2014",41,78,0
Sleaford Mods,Divide and Exit,"May 27, 2014",22,78,0
Jamie T,Carry on the Grudge,"September 30, 2014",40,78,0
Ty Segall,Manipulator,"August 26, 2014",35,78,0
Sturgill Simpson,Metamodern Sounds in Country Music,"May 13, 2014",20,78,0
Lone,Reality Testing,"June 17, 2014",25,78,0
Robert Plant & the Sensational Space Shifters,Lullaby and... The Ceaseless Roar,"September 9, 2014",37,78,0
Simone Felice,Strangers,"March 25, 2014",13,78,0
Kasai Allstars,Beware the Fetish,"June 24, 2014",26,78,0
Carlene Carter,Carter Girl,"April 8, 2014",15,78,0
Amen Dunes,Love,"May 13, 2014",20,78,0
Wildbirds & Peacedrums,Rhythm,"November 11, 2014",46,78,0
King Creosote,From Scotland with Love,"July 21, 2014",30,78,0
EMA,The  Future's Void,"April 8, 2014",15,78,0
